model,split,n,valid,rmse_bps,mae_bps,mean_bps,within_one_bp,estimated_cost_usd,input_tokens,output_tokens
gpt-4.1-nano-2025-04-14,calibration,128,125,5619.649635539718,4585.553353666014,197.60601101979438,0,0.0029224,20376,2212
gpt-4.1-nano-2025-04-14,test,128,123,5211.113699249558,4218.1181122395665,292.3377014785181,0,0.0030618,20370,2562
gpt-4.1-nano-2025-04-14,all,256,248,5419.23278761524,4401.83573295279,244.9718562491563,0,0.0059842,40746,4774
gpt-4.1-mini-2025-04-14,calibration,128,128,5436.227172821764,4228.686443276608,471.0409249565797,0,0.0109952,20376,1778
gpt-4.1-mini-2025-04-14,test,128,128,4563.2636227262565,3801.9699739577186,303.58864121435596,0,0.0110072,20370,1787
gpt-4.1-mini-2025-04-14,all,256,256,5018.761837596126,4015.3282086171625,387.31478308546787,0,0.022002400000000002,40746,3565
gpt-4o-mini-2024-07-18,calibration,128,127,5623.294313410387,4584.749928939992,100.87560526482741,0,0.0042408,20376,1974
gpt-4o-mini-2024-07-18,test,128,127,5345.832644218112,4293.438424973756,57.49719382680204,1,0.0042387,20370,1972
gpt-4o-mini-2024-07-18,all,256,254,5486.317781318433,4439.094176956874,79.18639954581481,1,0.008479500000000001,40746,3946
gpt-4.1-2025-04-14,calibration,128,100,4724.982616400858,3729.454916825204,-174.09482372957433,0,0.093952,20376,6650
gpt-4.1-2025-04-14,test,128,107,4484.565709633596,3462.627095041045,332.1457948083617,0,0.083844,20370,5388
gpt-4.1-2025-04-14,all,256,207,4606.34292738349,3596.041005933125,79.02548553939369,0,0.177796,40746,12038
